"AEW541_ActArea","Nilotinib_ActArea","17-AAG_ActArea","PHA-665752_ActArea","Lapatinib_ActArea","Nutlin-3_ActArea","AZD0530_ActArea","PF2341066_ActArea","L-685458_ActArea","ZD-6474_ActArea","Panobinostat_ActArea","Sorafenib_ActArea","Irinotecan_ActArea","Topotecan_ActArea","LBW242_ActArea","PD-0325901_ActArea","PD-0332991_ActArea","Paclitaxel_ActArea","AZD6244_ActArea","PLX4720_ActArea","RAF265_ActArea","TAE684_ActArea","TKI258_ActArea","Erlotinib_ActArea"
1.4906,0.4477,5.1669,1.2814,0.369,0.1367,0.7022,1.6642,0.5255,NA,4.2477,0.4215,2.4904,3.3191,1.2075,0.7033,0.05377,5.1481,0.2497,NA,1.8471,1.3576,1.2562,0.3233
1.4376,0.7575,2.9596,0.669,1.5596,0.7115,2.1677,0.2945,0.06305,1.2662,3.5201,0.1058,1.8827,3.1708,0.642,1.9489,0.9353,4.0875,0.6281,0.338,2.1399,0.7222,0.9248,1.8863
0.5954,0.5356,3.3045,0.361,1.0403,0.04249,0.4241,0.5546,0,NA,3.109,0.552,3.0887,3.3734,0.005701,1.0241,0,3.5178,0.3118,NA,1.4951,0.5023,0.847,0.08267
1.529,0.239,5.3606,0.2249,0.2365,0.6041,0.3882,0.744,0.07509,0.8542,4.9398,0.2541,3.224,2.7849,0.7298,3.9209,0.8202,4.8993,3.0232,1.1158,1.58,1.5851,0.9497,0.1433
1.4882,0.259,4.5336,0.5045,0.429,0.23,1.5617,1.0965,0.02159,1.3838,5.4217,0.7994,3.4062,3.8799,0.3787,3.7488,0.3324,5.7431,2.824,0.1083,1.3487,2.0974,0.735,0.07553
0.913,0.1668,3.6897,0.02942,0.6464,0,0.8336,0.612,0.03493,0.8651,4.1673,0.4575,2.8648,2.5156,0.3144,2.0873,0.06381,6.4269,0.7299,0,0.9551,1.0451,0.7375,0.05463
0.6521,0.5386,2.6699,0.2232,0.2793,0.5119,0.04244,0.8519,0.024,0.1834,4.3195,0.539,3.3657,3.162,0.3379,0.9161,0.02076,6.4903,0.5487,0.1305,0.5404,0.6623,1.0095,0.1555
0.9805,0.2386,3.5373,0.1498,0.2847,0.01412,0.04946,0.1298,0.1943,0.7882,4.117,0.6293,3.1056,2.6856,0.1968,5.61,0.09373,5.3262,3.8036,0.5122,3.249,0.4449,1.4256,0.5104
1.657,0.7497,3.905,0.1632,0.6047,0.7347,1.7225,1.1095,0,1.9235,3.4812,0,1.5901,1.2993,0.3136,3.115,0.3713,3.4066,1.5237,0.3741,0.8736,2.4551,0.2457,0.399
0.3245,0.2082,3.2746,0,0.3614,0.6257,1.7451,0.846,0.1058,1.3798,3.5238,0.2793,0.9451,0.9675,0.006976,3.6998,0.5099,3.1435,2.7227,0.09305,1.8703,1.623,0.6438,0.6797
0.2644,0.09143,2.7526,0,0.9129,0,1.3038,0.1799,0,NA,4.9402,0.326,2.605,2.1093,0.2594,0.9157,0,3.8972,0.3168,NA,2.0174,0.4506,0.7044,0.8427
0.6674,0.4157,4.7559,0.03508,0.6209,0.9955,0.3709,1.3639,0.7732,1.3352,4.5095,0.9908,4.4446,4.6525,0.3406,3.6018,0.6759,6.5225,2.5348,0.3847,2.0551,1.9146,1.8416,0.2241
0.3161,0.4447,2.6076,0.05415,0.8646,0.2323,1.9254,0.1002,0,NA,4.0604,0.8575,2.3182,3.0213,0.06797,1.8264,0.01444,3.7989,0.6622,NA,1.889,0.568,0.8688,1.1493
1.4213,0.9206,3.2255,0.3437,0.6736,0.1456,0.61,0.6209,0.6459,0.4266,5.3056,0.7736,3.8559,3.8351,1.6828,0.9559,0.7345,5.7354,0.6744,0.2859,1.3993,1.3403,1.1127,0.1121
1.1943,0.5484,3.5284,0.2063,0.3248,0.3876,0.514,0.3011,0,0.8517,3.9406,0.06075,2.8192,1.972,0.795,2.8012,0.1802,3.0234,2.0305,1.0325,1.1696,1.0744,0.339,0.1272
1.4618,0.6065,2.73,0.6852,0.6687,0.6093,0.04896,0.5345,0.003384,1.459,4.8894,0.5472,2.933,2.5552,0.2338,3.6445,0.4534,5.2658,2.493,1.433,2.2205,0.8642,0.7623,0.03277
0.9099,0.2472,3.2082,0.4499,1.0678,0.6192,1.657,0.765,0.04978,1.6519,3.9747,0.3819,1.5047,0.1703,0.5259,1.0196,0.1599,3.9561,0.7726,0.5576,2.1599,1.6853,1.4078,1.4249
1.0935,0.2589,3.2431,0.2858,0.6474,0.4299,1.4284,0.975,0,1.2371,4.0085,0.7027,3.5233,3.3451,0,3.0873,0.1536,5.4204,2.0182,0.1674,0.7633,0.773,0.408,0.5347
0.9336,0.1666,3.3577,0.2251,0.3009,0.4623,0.3278,0.4068,0.02135,0.5239,4.6716,0.09031,2.5234,2.2942,0.8372,2.3595,0.294,3.3945,1.5491,0.752,1.2493,0.9149,0.5711,0.0222
0.8222,0.3245,3.2799,0.5543,2.0464,0.28,1.1383,0.1746,0,1.3301,5.1254,0.6945,2.9906,2.8476,0.4602,0.8246,0.08206,5.8572,0.7278,0.3171,2.3918,1.4133,1.0597,1.207
0.3336,0.3538,2.6406,0.04844,0.1664,0.08353,0.8153,0.6149,0.1343,1.4031,3.4407,1.0337,3.9008,2.8967,0.9006,0.005301,0,6.1409,0.4429,1.1699,1.3319,1.7266,1.1322,1.0477
0.4566,0.1506,3.9631,0.3605,0.5477,0.3815,1.6485,0.415,0.2344,0.9598,3.7608,1.0759,2.6233,2.732,0.9197,1.3425,0.1943,5.0367,1.2785,0.6667,3.3561,1.3244,1.7314,0.8857
1.3966,0.2155,3.4197,0.2758,0.411,0.02477,0.6383,0.6001,0.1851,1.1518,4.1905,0.4228,2.2418,1.5994,0.4818,2.611,0,4.0922,2.1312,0.2848,1.5547,1.4991,0.5118,0.2484
0.4298,0.02441,1.3862,0,0.3303,0.1494,0.8493,0,0.1184,0.4626,3.2763,0.3679,1.8955,1.9364,0.4272,0.9977,0.0811,3.0491,0.7329,0.02867,0.7466,0.666,0.3697,0.1429
1.1125,0.1257,2.8905,0.2391,0.4346,0.6243,0.7499,0.455,0.03189,0.8277,3.8005,0.2335,3.3047,2.5101,0.12,1.6923,0.5023,4.4553,1.6292,0.1424,0.9033,1.205,0.5299,0.3066
0.9753,0.3102,4.9167,0,1.2422,0.254,1.8416,0.4445,0.1499,1.7591,3.6894,0.5507,2.5802,4.0152,0.3874,2.026,0.1732,5.1832,1.0569,0.2542,2.3273,0.8499,0.973,1.2982
1.1052,0.5979,4.5134,0.5584,1.053,0.1048,1.3243,0.4672,0.1614,1.6382,4.588,1.3145,3.5353,3.8274,0.4205,1.327,0.3092,6.5093,0.4484,0.4418,2.3833,1.707,1.8672,1.0646
2.1301,0.4601,1.7438,0.2678,0.6817,0.3852,1.7494,0.2888,0.1524,1.3519,3.5401,0.6551,1.2757,0.7803,0.1906,2.2864,0.0499,4.3524,1.8458,0.1328,1.4192,1.5291,1.356,0.8677
1.5363,1.1576,3.6466,0.269,0.5408,0.383,0.1187,0.5432,0,0.8149,4.7209,0.8727,2.1141,1.5046,0.9947,6.4385,0.4133,3.8672,4.9654,3.0335,2.8473,1.2676,1.2525,0.2374
2.4135,1.1375,4.355,0.4828,0.7467,1.1578,0.2465,0.4616,1.3154,1.1307,6.804,0.3402,NA,3.8314,0.2931,1.3436,2.4095,7.086,1.3018,0.4044,2.193,1.8171,1.2077,1.0481
1.137,0.4823,2.537,0.05954,0.3194,0.5323,1.4143,0.238,0.02585,1.1189,2.8925,1.0637,0.8403,1.2564,0.2173,0.8449,0.4777,4.9955,0.8136,0.6113,1.4113,1.2075,1.8327,0.5313
0.868,0.3488,2.7457,1.0773,0.2992,0.8056,1.475,0.468,0,0.6038,3.7393,0.7186,3.4461,3.2015,0.4507,2.9241,0.3863,5.3756,3.1418,1.8659,2.5702,1.4749,0.6195,0.3955
0.5856,0.403,3.8485,0,0.0632,0.1962,0.596,0.7314,0.06468,NA,4.431,0.6201,3.4329,3.8241,0.04267,2.2657,0.4718,5.1752,0.9399,NA,2.2513,0.8663,0.8956,0.2561
1.71,0.5732,4.996,0.7922,1.0545,0.3708,0.8178,0.618,0.3496,0.8166,4.8641,0.4757,3.6813,4.4313,0.9173,4.4466,1.274,6.6492,3.0327,0.8008,2.0903,1.8716,1.0366,0.8959
1.4577,0.1627,4.962,0,0,0.4372,0.09312,1.122,0,1.2619,4.822,0.4125,3.6838,3.5414,0.06866,4.7172,0.7942,6.0438,3.5274,0.09719,1.2912,1.9704,1.0755,0
0.5664,0.2101,3.4601,0.6267,0.3587,0.5542,0.2996,0.678,0.05555,0.3113,4.9122,0.8268,3.3454,3.2013,0.1936,3.6651,0.1507,6.4469,1.9489,0.171,2.0303,1.092,0.6307,0.2184
1.31,0.0939,2.3024,0.1233,0.532,0.3594,1.8178,0.6149,0.7546,1.3906,3.8161,0.8126,1.3083,2.0667,0.3024,1.8358,0.6809,3.9578,1.3659,0.4771,1.7293,1.457,1.1723,0.9017
0.9597,0.07206,4.4163,0.2331,0.7691,0.02354,1.391,0.6584,0.08201,1.5505,4.9332,0.3253,3.5571,2.9817,0.2907,1.3267,0.05875,6.0946,0.864,0.2992,2.4128,1.4144,1.2529,0.9805
1.0032,0.4161,3.2074,0.04629,1.7718,0.3145,0.3391,0.4875,0.1434,1.1217,4.3554,0.4845,4.4701,3.5181,0.3253,1.5302,0.1368,6.4953,1.3015,0.3614,2.1702,0.8375,0.8761,1.0717
0.2356,0.7005,2.0922,0.5486,0.9673,2.1103,0.1274,0.4815,0.4891,0.04064,4.9024,0.8119,2.7765,1.1798,1.3409,3.0417,0.442,3.657,1.7595,0.4425,1.6529,0.8386,0.6534,0.09419
1.6406,0.6661,2.9712,0.08954,0.6707,0.4832,0.4962,0.4691,0,0.4353,3.6981,0.6549,1.7063,1.8717,0.2759,3.1106,0.2405,4.9753,1.8637,0,1.4266,1.3264,1.2616,0.4884
0.3615,0,2.4662,0.08666,0,0.2102,0.2508,0.4959,0.03331,1.0122,4.0075,0.2818,2.5153,2.649,0.09733,0.5436,0,4.6157,0.2375,0.01494,1.3704,1.4006,1.1598,0.08293
1.0222,0.07336,3.3781,0.1393,0.3094,0.1706,0.5187,0.2606,0.2325,0.2174,3.3759,0.1468,1.7151,1.6636,0.2285,1.2184,0,5.9467,0.4696,0.06596,1.6132,1.3584,0.7472,0.4621
0.9348,0.5391,3.984,0.486,0,0.6993,0.1354,0.4152,0.3375,0.311,4.6206,0.4606,2.1461,2.2206,0.1373,4.7338,0.4765,4.5201,3.3142,2.2166,2.4244,0.853,0.6854,0.4867
1.5709,0.2871,2.7758,0,0.2996,0.338,0.3689,0.393,0,NA,3.2117,0.2155,1.234,1.099,0.04091,3.2738,0.03334,4.8529,2.2262,NA,0.894,1.6607,0.6834,0.1607
1.4368,0.2987,2.7021,0.1365,0.3326,0.1682,0.5394,0.4129,0,0.3792,3.2468,0.1994,2.3966,2.5865,0.04504,0.2633,0.559,4.4053,0.1214,0.09978,1.0498,1.3823,0.9419,0.4804
1.1017,0.3012,5.5367,0.04652,1.582,0,0.1335,0.2967,0.1205,0.6659,5.7776,0.8147,3.9137,3.126,0.3383,0.9213,0.2768,5.5396,0,0.1361,1.3141,1.0628,0.5439,0.1473
0.8462,0.6314,4.5708,0.07258,0.3964,0.09546,0.2935,0.5705,0,0.4307,4.7692,0.4936,2.8504,2.9714,0.727,4.0762,0.072,3.4582,3.4602,0.1413,1.9905,2.2049,0.482,0
0.508,0.1559,2.0471,0.2041,0.8776,0.5722,1.9162,0.3415,0.301,NA,4.7984,0.7373,2.6997,3.5208,0.1956,0.5565,0.1509,2.0493,0.3445,NA,2.134,0.7926,0.6268,0.8693
0.3216,0.2542,2.2591,0.01486,0.4367,0.3606,0.4466,0.1563,0.0583,0.2029,3.9406,0.6127,1.8003,2.9929,2.0923,0.8609,0.1033,4.5514,0,0,1.3031,1.1837,0.4459,0.3913
0.8423,0.1366,3.5942,0.1807,0.3719,0.5281,1.5,0.4126,0,1.2425,4.42,0.5575,3.7736,3.7109,0.7126,0.8906,0.04018,4.855,1.1747,0.5801,1.3733,0.8174,1.3732,0.5841
1.1814,0.6787,2.6346,0.2077,1.0195,0.02414,0.9084,0.3213,0.01443,0.2839,3.1759,1.1377,2.7435,2.7169,1.1051,1.4088,0.2188,3.1674,0.6149,0.1654,2.4916,0.9206,1.1809,0.4596
0.9258,0.2989,3.2674,0.4697,0.4123,0.2025,0.4257,0.8342,0.05788,0.1916,3.2886,0.2399,2.844,3.0484,0.2531,0.6552,0.1626,4.5241,0.466,0.2133,1.337,1.0372,0.9636,0.1438
0.1716,NA,3.7538,0.3838,0.1087,0.1188,0.04944,0,0.255,0.8184,3.3891,0.3239,NA,0.8829,1.8514,2.0602,NA,3.5617,1.5979,0.691,0.5653,0.07927,0.2933,0.1035
0.6781,0.5288,0.8741,0.6874,0.9322,0.4071,1.0493,0.4427,0.003237,1.4705,4.399,0.7286,3.466,4.2614,1.1443,1.2402,0.1503,4.1514,0.9964,0.7605,0.9857,0.4165,0.1252,0.4773
0.887,0.1666,4.7147,0.7694,1.3948,0.1788,1.5313,2.6605,0.1213,1.2065,4.8403,0.2001,4.2414,3.252,1.6295,1.8762,0.9013,4.8996,0.9345,0.4093,1.5374,1.8779,0.2963,0.842
0.7503,NA,3.4189,0.7094,2.3087,0.5473,1.8014,0.3273,0,2.3861,4.7212,0.1157,NA,2.4283,0.7254,2.5956,NA,3.4061,2.0146,0.2626,0.7362,1.8427,0.6354,1.8156
1.5288,NA,3.2033,0.5401,0.3625,1.339,1.3996,0.6386,0.2222,0.984,4.1913,0.9267,NA,3.5615,0.6123,1.746,0.6593,5.3659,0.833,0,1.1671,1.2566,0.5718,0.4775
0.7983,0.2487,2.7224,0.02345,0.3527,0.4886,0.9192,1.8879,0.003449,0.7584,4.2462,0.5604,3.0723,2.8877,0.3097,1.5899,0.2845,5.1908,0.4632,0.1109,1.6848,4.0317,1.0651,0.8593
0.675,0.3106,4.175,0.002634,0.306,0.2795,0,0.498,0.3502,0.4954,4.4865,0.03211,2.9952,2.7835,0.3965,1.1637,0.1348,6.7642,1.0537,0.1812,1.7063,0.873,1.0698,0.2999
1.921,NA,4.0054,1.9638,2.0259,1.4989,2.5709,1.3051,NA,2.0888,4.3314,0.5808,NA,3.7728,2.5655,2.3037,NA,4.9906,0.8823,1.0515,NA,2.4285,1.6466,2.3791
0.535,0.1169,2.9933,0,0,0.421,0.7849,0.2855,0.03915,0.832,4.0233,0.4904,3.2016,2.1326,0.6113,0.1691,0.7981,5.9668,0.1026,0.07222,1.3047,0.8424,1.2327,0
1.2766,NA,4.6117,0.0742,1.8201,0.1139,1.4841,0.3285,0.3826,2.5902,4.4314,0.3623,NA,4.1015,0.1843,2.5049,NA,4.7876,1.1148,0.06765,1.0799,0.868,0.3701,1.4192
0.9502,NA,4.4951,0.806,0.3622,0.2397,1.3435,0.2194,0.401,1.5508,5.2069,1.0666,NA,1.564,0.4887,1.9272,NA,4.4367,1.0491,0.6619,1.4073,1.3489,1.7745,0.3636
1.2066,0.479,3.2136,0,1.3016,0.6145,1.6957,0.8308,0.3091,1.5608,4.9122,0.1355,2.1034,1.9966,0.1315,3.5574,0.5663,6.095,2.7961,0.228,2.0185,1.0425,1.3047,1.5385
0.5417,NA,2.8006,0.7733,0.07309,0.2029,0.321,0.2938,0.003353,0.8977,3.699,0,NA,3.0246,0.8301,0.7796,0.01258,3.7283,0.8117,0.05758,0.6166,0.3088,0.6612,0.3626
1.1557,0.3714,3.8606,1.0101,0.6883,0.5754,0.9268,0.6549,0,0.9135,4.8063,0.827,NA,2.5426,1.6691,1.8382,0.1374,5.2761,1.4084,0.5192,1.6292,1.3415,0.8745,0.3449
1.511,NA,3.0328,0.4372,0.1923,0.106,1.5736,0.7092,NA,0.7187,4.0829,0.8441,NA,3.0781,1.0712,3.2483,NA,6.5055,1.5986,1.0378,NA,2.1373,0.79,0.4963
1.1,0.2903,4.1513,1.0882,0.7137,0.7127,1.7584,0.7572,0.1226,1.5185,4.0676,0.02507,2.8009,3.1782,1.6585,2.4447,0.8757,4.591,1.4771,0.5841,2.0361,1.8224,1.5633,0.5373
0.3003,0.3543,2.5565,0.09265,0.4217,0.3107,0.3648,0.5228,0.03436,0.2478,1.8786,0.4596,NA,1.0695,0.5001,1.1128,0.4161,4.5352,0.3037,0.01962,0.6137,0.4458,0.464,0.1385
0.868,NA,4.5286,0.8429,0.565,1.1217,1.0493,0.7375,NA,0.6134,4.6762,0.398,NA,3.8193,0.913,4.916,NA,5.3255,3.9363,3.0249,2.0133,1.354,0.7377,0.6873
0.5249,0.3222,3.2444,0.1629,0.8911,0.3682,0.7199,0.46,0.2754,1.5907,4.9023,0.4915,2.0817,2.3197,0.1119,1.4506,0.4306,3.8856,0.5816,0.1392,1.5917,0.6407,1.2541,0.9432
0.7763,NA,2.5464,0.8592,1.5418,0.5247,2.3456,0.658,0.3238,1.3823,4.2531,0.3111,NA,2.5258,0.8158,1.4756,NA,6.2607,0.9563,0,NA,0.5841,1.2325,1.5436
0.9253,NA,2.9064,0.453,0.4447,0.4547,1.1319,0.5073,0.4872,1.5118,3.909,0.583,NA,4.5965,1.0266,0.6229,NA,5.9629,0.314,0.3759,1.9443,0.7959,1.3124,0.6176
0.5457,NA,3.6972,0.4336,0.216,0.5693,0.5236,1.0878,0.2226,1.2145,4.6003,0.4663,NA,2.6126,0.4723,0.7663,NA,5.6551,0.6094,0.6865,NA,1.8359,0.7001,0.1787
1.5768,NA,4.4138,1.0704,1.6271,0.09898,3.3372,0.5781,1.3271,3.3291,4.1845,0.4259,NA,3.389,0.8567,1.4392,NA,6.7585,1.2008,0.3088,NA,1.7777,1.1328,3.7177
1.0965,0.5324,3.1735,0.704,1.1965,0.1933,1.2755,0.6978,0.1766,1.8618,4.147,0.2293,1.4083,0.9707,0.4363,1.0033,0.2584,3.8109,0.4508,0.09375,0.822,1.2969,0.2454,0.4664
0.5525,1.727,3.5747,0.6474,0.3485,0.364,0.714,0.5515,0.293,0.968,3.6206,2.0935,2.8739,2.586,0.3017,0.5889,0.8348,4.3533,0.117,0.05216,2.2706,1.2913,2.2652,0.3697
1.3212,NA,2.4817,0.6979,0.2098,0.4023,0.9396,0.4002,0.405,0.9198,3.9954,0.4794,NA,2.263,0.6972,2.216,NA,3.2911,1.4749,0.2355,NA,1.4907,0.6359,0.0789
1.3572,0.8719,1.5995,0.2943,0.4256,0.5109,0.2285,0.7947,0.8398,0.3811,5.4403,0.5582,3.0313,1.8683,0.5784,0.1101,0.304,4.6234,0.1913,0.2752,0.6182,1.318,0.6411,0.1621
0.4693,0,3.202,NA,0.03182,0,0.06091,0.005164,0.01935,0.878,3.3784,0.07522,NA,1.2569,NA,0.6165,0.0986,5.9558,NA,0.482,0.4206,0.07675,0.2032,0
1.0809,NA,4.2751,0.1941,0.1102,0.2963,0.1118,0.3076,0.6794,0.8723,4.002,0.1393,NA,3.151,0.2832,1.3956,NA,4.9726,0.6252,0.1837,0.9633,0.8719,0.4967,0.06994
1.627,NA,1.6901,1.2101,2.2679,0.2324,1.8523,0.385,NA,1.284,3.5643,0.1106,NA,2.3975,0.7395,1.9335,NA,3.5397,0.1921,0.4187,NA,0.808,1.4472,2.1105
1.2614,NA,4.5305,0.4611,1.7008,0.4469,1.6671,1.0874,NA,0.786,3.9365,0.3126,NA,3.9397,0.6691,0.3991,NA,6.5708,0.3191,0.5049,NA,1.0755,0.8789,1.55
0.5173,0.1507,2.5525,0.1855,0.1481,0.3224,0.7185,0.391,0,1.1563,3.932,0.1761,2.011,1.9046,0.6851,2.2718,0.3721,4.484,1.6739,0.1687,0.9198,0.1825,0.7941,0.2869
0.5889,0.2116,1.8778,0.333,1.0358,0.1986,1.4942,0.2181,0,0.7584,3.3759,0.3326,2.2955,1.6699,0.2116,1.3875,0.03832,2.0256,1.1417,0,0.8661,0.4804,0.3328,0.5729
0.4121,1.0923,4.6507,0.1384,0.219,0.9223,1.5267,0.4107,0,2.0944,4.3588,1.8088,3.4352,3.4254,0.8646,1.3252,0.2898,5.6305,0.3181,0.632,1.8535,1.35,2.145,0.3561
1.9311,0.6117,2.575,0.868,1.4168,0.9397,1.016,1.0025,1.5567,1.8697,3.384,0.8336,3.8767,3.7305,0.8595,1.5386,0.903,6.075,0.9323,0.1516,1.9761,1.4916,1.6093,1.8648
0.4272,0.4922,2.6725,0.3554,0.4868,0.6416,1.8421,0.6993,0.2808,1.1847,4.3584,0.9695,3.8142,3.9431,0.1064,0.8026,0.7611,6.2674,0.09705,0.05898,1.6093,1.4665,1.1542,0.8777
1.0007,0.641,4.799,0.1106,1.0001,0.2901,0.8363,0.533,0.1532,0.9727,3.7698,0.5889,3.4086,4.1961,1.6262,0.1503,0,5.817,0.2601,0.4886,2.1067,0.7964,1.0845,0.2467
1.3703,0.07419,3.6877,0.04997,1.9052,0.1528,1.7728,0.2923,0.09294,1.7151,4.751,0.04859,2.8611,2.4477,1.9431,2.3533,0.2048,5.3918,1.7048,0.2709,2.3477,0.9655,0.322,2.0234
1.1699,0.08193,2.2269,0.2856,0.5927,0.2278,0.6374,0.3743,0.09827,1.2608,3.2021,0.5223,1.9361,2.5609,0.6449,1.0839,0.09228,3.8972,0.8452,0.2946,1.9322,1.7014,0.696,0.463
1.4484,0.521,3.5625,0.4121,0.1527,0.4491,0.9057,0.7175,0.02134,0.8069,4.6373,0.6118,3.9345,3.2038,0.09724,4.8148,0.1961,6.0932,3.2996,2.9645,2.2543,1.8735,1.0899,0.2889
1.8932,0.4398,5.3135,0.2648,0.8029,0.3962,0.9439,0.5708,0.1403,1.2904,4.5754,0.658,3.1076,2.4461,0.1759,4.683,0.343,6.2246,4.148,1.6266,2.0208,2.1444,0.9653,0
0.969,0.1473,2.7954,0.1508,0.3933,0.5178,0.6296,0.5367,0.0003624,0.5163,3.8112,0.01333,2.3295,2.4773,1.8489,2.213,0.2844,4.8987,1.0543,0.6301,1.4222,0.9395,0.6116,0.6342
